Task,Priority,Owner,Status,Start date,End date,Milestone,Deliverable,Notes
Create initial React app shell and route scaffolding,High,Ved-Joshi,Done,2026-03-03,2026-03-03,M1 Foundation,Initial web UI skeleton,Changed: Initial web UI skeleton. Scope: Create initial React app shell and route scaffolding.
Initialize FastAPI backend project layout,High,Hazelette,Done,2026-03-04,2026-03-04,M1 Foundation,Backend directory + app entrypoint,Changed: Backend directory + app entrypoint. Scope: Initialize FastAPI backend project layout.
Add backend configuration module,High,Hazelette,Done,2026-03-04,2026-03-04,M1 Foundation,Config settings and env wiring,Changed: Config settings and env wiring. Scope: Add backend configuration module.
Add database module scaffolding,Medium,Hazelette,Done,2026-03-05,2026-03-05,M1 Foundation,database.py initialization,Changed: database.py initialization. Scope: Add database module scaffolding.
Implement user model/schema baseline,Medium,Hazelette,Done,2026-03-05,2026-03-05,M1 Foundation,User info model and fields,Changed: User info model and fields. Scope: Implement user model/schema baseline.
Implement password hashing and token security helpers,High,Hazelette,Done,2026-03-06,2026-03-06,M1 Foundation,security.py auth primitives,Changed: security.py auth primitives. Scope: Implement password hashing and token security helpers.
Create initial auth schema and routes,High,Hazelette,Done,2026-03-06,2026-03-10,M1 Foundation,Authentication module complete,Changed: Authentication module complete. Scope: Create initial auth schema and routes.
Integrate Supabase auth connectivity,High,Anishka Chauhan,Done,2026-03-10,2026-03-10,M1 Foundation,Supabase-backed login/registration path,Changed: Supabase-backed login/registration path. Scope: Integrate Supabase auth connectivity.
Adjust registration form fields and UX,Medium,Ved-Joshi,Done,2026-03-10,2026-03-10,M1 Foundation,Updated registration inputs,Changed: Updated registration inputs. Scope: Adjust registration form fields and UX.
Add first Supabase migration set and demo assets,High,Hazelette,Done,2026-03-16,2026-03-16,M2 Data Platform,Initial SQL migrations + edge function stub,Changed: Initial SQL migrations + edge function stub. Scope: Add first Supabase migration set and demo assets.
Remove SQLAlchemy/SQLite from backend stack,High,Hazelette,Done,2026-03-16,2026-03-16,M2 Data Platform,Supabase-only backend data layer,Changed: Supabase-only backend data layer. Scope: Remove SQLAlchemy/SQLite from backend stack.
Patch schema constraints and RLS policies,High,Hazelette,Done,2026-03-16,2026-03-16,M2 Data Platform,Hardened DB constraints + RLS,Changed: Hardened DB constraints + RLS. Scope: Patch schema constraints and RLS policies.
Add production JWT default-secret guard,High,Hazelette,Done,2026-03-16,2026-03-16,M2 Security,Startup safety check for JWT secret,Changed: Startup safety check for JWT secret. Scope: Add production JWT default-secret guard.
Implement complete_registration edge function core,High,Hazelette,Done,2026-03-21,2026-03-21,M2 Security,Profile creation function,Changed: Profile creation function. Scope: Implement complete_registration edge function core.
Normalize phone handling to E.164 in registration path,Medium,Hazelette,Done,2026-03-21,2026-03-21,M2 Security,Phone normalization and validation updates,Changed: Phone normalization and validation updates. Scope: Normalize phone handling to E.164 in registration path.
Relax then remove strict phone constraint for registration stability,Medium,Hazelette,Done,2026-03-21,2026-03-21,M2 Security,DB constraint fixes for onboarding flow,Changed: DB constraint fixes for onboarding flow. Scope: Relax then remove strict phone constraint for registration stability.
Harden registration payload validation and CORS responses,High,Hazelette,Done,2026-03-23,2026-03-23,M2 Security,Strict payload checks + CORS support,Changed: Strict payload checks + CORS support. Scope: Harden registration payload validation and CORS responses.
Wire MFA enrollment/challenge flow in auth,Medium,Hazelette,Done,2026-03-23,2026-03-23,M2 Security,MFA onboarding and challenge UX,Changed: MFA onboarding and challenge UX. Scope: Wire MFA enrollment/challenge flow in auth.
Fix forgot-password page DB drift issue,High,Ved-Joshi,Done,2026-03-23,2026-03-23,M3 Core Features,Password reset compatibility fix,Changed: Password reset compatibility fix. Scope: Fix forgot-password page DB drift issue.
Add banking read API endpoints in backend,High,Ved-Joshi,Done,2026-03-23,2026-03-23,M3 Core Features,Accounts/transactions/payments/deposits read APIs,Changed: Accounts/transactions/payments/deposits read APIs. Scope: Add banking read API endpoints in backend.
Migrate frontend data flows from mocks to backend APIs,High,Ved-Joshi,Done,2026-03-23,2026-03-23,M3 Core Features,Frontend reads from live backend,Changed: Frontend reads from live backend. Scope: Migrate frontend data flows from mocks to backend APIs.
Add account creation workflow frontend and backend,High,Ved-Joshi,Done,2026-03-23,2026-03-23,M3 Core Features,Open-account flow end-to-end,Changed: Open-account flow end-to-end. Scope: Add account creation workflow frontend and backend.
Implement backend-driven payment/deposit/notification flows,High,Ved-Joshi,Done,2026-03-23,2026-03-23,M3 Core Features,Money movement read/write integration,Changed: Money movement read/write integration. Scope: Implement backend-driven payment/deposit/notification flows.
Implement backend internal transfer flow,High,Ved-Joshi,Done,2026-03-23,2026-03-23,M3 Core Features,Internal transfer submission path,Changed: Internal transfer submission path. Scope: Implement backend internal transfer flow.
Add script to run frontend and backend together,Low,Ved-Joshi,Done,2026-03-25,2026-03-25,M4 DevEx,Unified local run script,Changed: Unified local run script. Scope: Add script to run frontend and backend together.
Launch Google Maps ATM locator search,Medium,Ved-Joshi,Done,2026-03-25,2026-03-25,M5 UX,Live ATM search page,Changed: Live ATM search page. Scope: Launch Google Maps ATM locator search.
Improve ATM result quality and hours enrichment,Medium,Ved-Joshi,Done,2026-03-25,2026-03-25,M5 UX,ATM dedupe/hours/detail refinements,Changed: ATM dedupe/hours/detail refinements. Scope: Improve ATM result quality and hours enrichment.
Improve ATM caching and manual location behavior,Low,Ved-Joshi,Done,2026-03-25,2026-03-25,M5 UX,Search cache/reset behavior improvements,Changed: Search cache/reset behavior improvements. Scope: Improve ATM caching and manual location behavior.
Add keep-alive GitHub workflow for Supabase,Low,Sajid Kaiser,Done,2026-04-07,2026-04-07,M4 DevEx,Cron ping workflow,Changed: Cron ping workflow. Scope: Add keep-alive GitHub workflow for Supabase.
